,row_id,microbusiness_density
0,1001_2023-01-01,3.7964146634831284
1,1003_2023-01-01,7.991037004181584
2,1005_2023-01-01,1.3100892776380406
3,1007_2023-01-01,1.241736667194618
4,1009_2023-01-01,1.8761726784259725
5,1011_2023-01-01,1.0801639062538424
6,1013_2023-01-01,2.511976409129394
7,1015_2023-01-01,2.2707528504212737
8,1017_2023-01-01,1.1803881942263248
9,1019_2023-01-01,1.228883934275346
10,1021_2023-01-01,1.703276173881017
11,1023_2023-01-01,1.662742192477944
12,1025_2023-01-01,1.3380418175560398
13,1027_2023-01-01,1.498536751848569
14,1029_2023-01-01,1.4153505457334328
15,1031_2023-01-01,2.116426867879004
16,1033_2023-01-01,2.2761966942072718
17,1035_2023-01-01,1.4734385056919095
18,1037_2023-01-01,1.0313552961513157
19,1039_2023-01-01,1.7195959403188266
20,1041_2023-01-01,1.0822220016865827
21,1043_2023-01-01,2.7475183546719624
22,1045_2023-01-01,1.780399409926802
23,1047_2023-01-01,1.585028984164424
24,1049_2023-01-01,2.298542095273328
25,1051_2023-01-01,3.681052774078989
26,1053_2023-01-01,1.98647673342218
27,1055_2023-01-01,2.6394434470933676
28,1057_2023-01-01,1.018175413105702
29,1059_2023-01-01,1.8537478498850541
30,1061_2023-01-01,1.6102991279717336
31,1063_2023-01-01,1.4229776948589201
32,1065_2023-01-01,1.5250128330846402
33,1067_2023-01-01,2.454673698257896
34,1069_2023-01-01,3.0240284778175575
35,1071_2023-01-01,1.7344901763597276
36,1073_2023-01-01,6.489361929004315
37,1075_2023-01-01,0.8054531220625094
38,1077_2023-01-01,4.280084748462832
39,1079_2023-01-01,1.4203969448125486
40,1081_2023-01-01,3.896242350067535
41,1083_2023-01-01,3.1307229215605132
42,1085_2023-01-01,1.6392927596840252
43,1087_2023-01-01,2.216115709907693
44,1089_2023-01-01,6.3034835140533865
45,1091_2023-01-01,1.3670022907408632
46,1093_2023-01-01,-0.05269725800071967
47,1095_2023-01-01,2.788382793502021
48,1097_2023-01-01,3.4850088475761947
49,1099_2023-01-01,0.5492340336255472
50,1101_2023-01-01,4.896289961511586
51,1103_2023-01-01,3.036713069454091
52,1105_2023-01-01,2.151945799684811
53,1107_2023-01-01,0.769188762575494
54,1109_2023-01-01,1.9848640469484895
55,1111_2023-01-01,5.544100464133795
56,1113_2023-01-01,2.539647246751473
57,1115_2023-01-01,2.7882463761640524
58,1117_2023-01-01,-18360923175.51648
59,1119_2023-01-01,1.1004608829159328
60,1121_2023-01-01,1.6970309168567588
61,1123_2023-01-01,2.163155765865607
62,1125_2023-01-01,2.8539728973874148
63,1127_2023-01-01,1.9258608600765967
64,1129_2023-01-01,0.9673046270157462
65,1131_2023-01-01,1.0466071826905317
66,1133_2023-01-01,0.8432731530089037
67,2013_2023-01-01,0.9230430232581872
68,2016_2023-01-01,-72574222150.4231
69,2020_2023-01-01,39149990518.93848
70,2050_2023-01-01,0.9202861877764155
71,2060_2023-01-01,-21200466209063.734
72,2068_2023-01-01,13.776597011381373
73,2070_2023-01-01,1.7674158544655294
74,2090_2023-01-01,3.9374180247328194
75,2100_2023-01-01,4.972188190041277
76,2105_2023-01-01,5.143094114954659
77,2110_2023-01-01,4.718562577018503
78,2122_2023-01-01,6.340048714293504
79,2130_2023-01-01,5.521726276709752
80,2150_2023-01-01,3.448026514456875
81,2164_2023-01-01,4.404681789970008
82,2170_2023-01-01,5.1337017096220094
83,2180_2023-01-01,1.2418788775706546
84,2185_2023-01-01,1.401720927274099
85,2188_2023-01-01,0.002077358790423922
86,2195_2023-01-01,2.979670629557436
87,2198_2023-01-01,4.653835100628617
88,2220_2023-01-01,6.153855506498638
89,2230_2023-01-01,182474421298.48633
90,2240_2023-01-01,-103326114906.39111
91,2275_2023-01-01,6.061037597828436
92,2282_2023-01-01,3.412852708567366
93,2290_2023-01-01,2.8878736238340394
94,4001_2023-01-01,5.002179492011901
95,4003_2023-01-01,3.676148481520642
96,4005_2023-01-01,6.093993039558981
97,4007_2023-01-01,4.341153816884579
98,4009_2023-01-01,2.0122564528156355
99,4011_2023-01-01,1.4198355938421265
100,4012_2023-01-01,1.6103074371757344
101,4013_2023-01-01,14.878616819700468
102,4015_2023-01-01,4.476572985894725
103,4017_2023-01-01,3.621355204637325
104,4019_2023-01-01,6.721929363030505
105,4021_2023-01-01,4.550550458660225
106,4023_2023-01-01,3.9226814805332992
107,4025_2023-01-01,8.825917942652193
108,4027_2023-01-01,2.232875468867085
109,5001_2023-01-01,1.944336907739732
110,5003_2023-01-01,0.9843550328300286
111,5005_2023-01-01,3.261752573892605
112,5007_2023-01-01,4.25758955666616
113,5009_2023-01-01,3.2549465119402954
114,5011_2023-01-01,1.3934197279007359
115,5013_2023-01-01,0.10187139426426262
116,5015_2023-01-01,5.44041679143001
117,5017_2023-01-01,1.2778243163788718
118,5019_2023-01-01,2.2031540948109507
119,5021_2023-01-01,0.2860833368588467
120,5023_2023-01-01,2.7384172894988072
121,5025_2023-01-01,0.67525971980457
122,5027_2023-01-01,1.3807928666081262
123,5029_2023-01-01,2.9125593724881593
124,5031_2023-01-01,3.8489540893067176
125,5033_2023-01-01,2.50999668809294
126,5035_2023-01-01,1.5674525790114466
127,5037_2023-01-01,1.6384017946816147
128,5039_2023-01-01,0.704712750579698
129,5041_2023-01-01,0.6392619151830713
130,5043_2023-01-01,0.6702007087332087
131,5045_2023-01-01,4.27146291457071
132,5047_2023-01-01,1.218228405256257
133,5049_2023-01-01,3.105036456603778
134,5051_2023-01-01,4.360644084516775
135,5053_2023-01-01,1.1423888307773438
136,5055_2023-01-01,2.8278174318709812
137,5057_2023-01-01,1.0272729960722469
138,5059_2023-01-01,1.6266708644205097
139,5061_2023-01-01,1.109973741444987
140,5063_2023-01-01,1.9420701315244262
141,5065_2023-01-01,1.9971542381904548
142,5067_2023-01-01,0.5504736070631765
143,5069_2023-01-01,1.0659656279554124
144,5071_2023-01-01,6417895568.357473
145,5073_2023-01-01,0.7989760093025406
146,5075_2023-01-01,0.8184136696962394
147,5077_2023-01-01,0.8182490533515592
148,5079_2023-01-01,0.39133857484302625
149,5081_2023-01-01,1.0974293076845716
150,5083_2023-01-01,1.169271755197745
151,5085_2023-01-01,3.0298448519171193
152,5087_2023-01-01,1.6134013124195832
153,5089_2023-01-01,3.240307337757164
154,5091_2023-01-01,2.2313404953390927
155,5093_2023-01-01,1.383517086679157
156,5095_2023-01-01,0.9690506361770599
157,5097_2023-01-01,2.1004887453683905
158,5099_2023-01-01,0.7772200749005738
159,5101_2023-01-01,2.3784386935702537
160,5103_2023-01-01,1.3930640799760345
161,5105_2023-01-01,4.259640406306471
162,5107_2023-01-01,1.1819218251185029
163,5109_2023-01-01,1.2303556237774873
164,5111_2023-01-01,0.9335555863682519
165,5113_2023-01-01,1.5549328150011568
166,5115_2023-01-01,2.48709345106534
167,5117_2023-01-01,-0.04445619897945097
168,5119_2023-01-01,6.280910842674485
169,5121_2023-01-01,1.6834407903455326
170,5123_2023-01-01,0.6887885654219875
171,5125_2023-01-01,3.83860755470009
172,5127_2023-01-01,0.41148348888731734
173,5129_2023-01-01,1.5625426450799682
174,5131_2023-01-01,4.273988326127471
175,5133_2023-01-01,1.0109968885899865
176,5135_2023-01-01,2.4956855935698794
177,5137_2023-01-01,2.2029487758810555
178,5139_2023-01-01,2.1878026693185237
179,5141_2023-01-01,0.049489751891383715
180,5143_2023-01-01,5.142962376256765
181,5145_2023-01-01,3.285951397007679
182,5147_2023-01-01,1.3444347183249135
183,5149_2023-01-01,1.2425420133991605
184,6001_2023-01-01,12.594946638826215
185,6003_2023-01-01,5.041804493933033
186,6005_2023-01-01,18.249337154909476
187,6007_2023-01-01,6.898037695140566
188,6009_2023-01-01,5.842335195474005
189,6011_2023-01-01,1.9813426582295812
190,6013_2023-01-01,9.313490313914702
191,6015_2023-01-01,-10.875127959232202
192,6017_2023-01-01,10.038248240923387
193,6019_2023-01-01,4.0683400626019175
194,6021_2023-01-01,2.2700669271284823
195,6023_2023-01-01,6.808545118348687
196,6025_2023-01-01,1.9184463260795042
197,6027_2023-01-01,4.811209796122361
198,6029_2023-01-01,3.6295149933530872
199,6031_2023-01-01,1.866383897173828
200,6033_2023-01-01,14.4034648918524
201,6035_2023-01-01,2.1861762013150337
202,6037_2023-01-01,14.677721094426033
203,6039_2023-01-01,3.7612316969823616
204,6041_2023-01-01,20.339707170070685
205,6043_2023-01-01,7.81362188660392
206,6045_2023-01-01,6.260827439560705
207,6047_2023-01-01,2.0693676324826824
208,6049_2023-01-01,2.3453094840774233
209,6051_2023-01-01,9.353002485748924
210,6053_2023-01-01,5.611132204545122
211,6055_2023-01-01,11.80679263234191
212,6057_2023-01-01,6471556031.942261
213,6059_2023-01-01,17.16260517797997
214,6061_2023-01-01,11.362556009437487
215,6063_2023-01-01,4.67581696613627
216,6065_2023-01-01,8.146691482062408
217,6067_2023-01-01,7.46468810612031
218,6069_2023-01-01,5.367774774680758
219,6071_2023-01-01,6.221162280177829
220,6073_2023-01-01,13.80821646236248
221,6075_2023-01-01,18.160981631016057
222,6077_2023-01-01,4.310723166119925
223,6079_2023-01-01,11.51706240123853
224,6081_2023-01-01,10.27463529155358
225,6083_2023-01-01,10.920730172926426
226,6085_2023-01-01,12.76026671482608
227,6087_2023-01-01,8.6064576899831
228,6089_2023-01-01,5.723569012319124
229,6091_2023-01-01,1.7999739133246635
230,6093_2023-01-01,6.018311737518477
231,6095_2023-01-01,-13185455423.664429
232,6097_2023-01-01,11.0462224386808
233,6099_2023-01-01,4.268071311088708
234,6101_2023-01-01,3.335352220527966
235,6103_2023-01-01,3.197004790740049
236,6105_2023-01-01,-6067826796.283691
237,6107_2023-01-01,2.7351439441846104
238,6109_2023-01-01,7.820386472628712
239,6111_2023-01-01,-1401928985.449173
240,6113_2023-01-01,5.2296529143960555
241,6115_2023-01-01,5.5946077476312155
242,8001_2023-01-01,4.163811540461047
243,8003_2023-01-01,2.985580452486484
244,8005_2023-01-01,15.31091237389137
245,8007_2023-01-01,59557565721.96533
246,8009_2023-01-01,2.175909904528761
247,8011_2023-01-01,2.0712439523918262
248,8013_2023-01-01,19.814739516302268
249,8014_2023-01-01,-16551403254.795837
250,8015_2023-01-01,8.190353425298653
251,8017_2023-01-01,5.321301401622023
252,8019_2023-01-01,5.905212142187639
253,8021_2023-01-01,2.2686549114369816
254,8023_2023-01-01,3.3754624759089844
255,8025_2023-01-01,1.023269437730037
256,8027_2023-01-01,9.080552550178492
257,8029_2023-01-01,6.308709029214426
258,8031_2023-01-01,22.203616244610984
259,8033_2023-01-01,8.95371935008506
260,8035_2023-01-01,-20360289360.909424
261,8037_2023-01-01,14.309988045249911
262,8039_2023-01-01,8.176234856808563
263,8041_2023-01-01,8.58476667921564
264,8043_2023-01-01,2.700561806568089
265,8045_2023-01-01,10.360981388706932
266,8047_2023-01-01,19414777101.26529
267,8049_2023-01-01,-85634110847.95386
268,8051_2023-01-01,11.151953298546058
269,8053_2023-01-01,12.270298728101224
270,8055_2023-01-01,8.582411552352957
271,8057_2023-01-01,3.40907254823445
272,8059_2023-01-01,8.331004901754568
273,8061_2023-01-01,4.782035781593143
274,8063_2023-01-01,2.7624283682112907
275,8065_2023-01-01,4.2100215942382375
276,8067_2023-01-01,10.482879380946866
277,8069_2023-01-01,8.054557504772674
278,8071_2023-01-01,3.7773448131799667
279,8073_2023-01-01,3.3679560374772155
280,8075_2023-01-01,1.3509286551005708
281,8077_2023-01-01,5.885086635565935
282,8079_2023-01-01,11.237609827486832
283,8081_2023-01-01,4.192168610398159
284,8083_2023-01-01,5.15847126142024
285,8085_2023-01-01,5.459690357049345
286,8087_2023-01-01,3.142639483730443
287,8089_2023-01-01,2.218302056769829
288,8091_2023-01-01,14.987907954372956
289,8093_2023-01-01,7.487064421215418
290,8095_2023-01-01,3.407308852887563
291,8097_2023-01-01,-36452958889.35486
292,8099_2023-01-01,1.6242240321409582
293,8101_2023-01-01,3.072920532652736
294,8103_2023-01-01,2.94635696642438
295,8105_2023-01-01,130.14925130353006
296,8107_2023-01-01,16.85790889137036
297,8109_2023-01-01,6.651224195224965
298,8111_2023-01-01,15.95289776073082
299,8113_2023-01-01,21.911821442806993
300,8115_2023-01-01,1.7268780668937467
301,8117_2023-01-01,17.069903263488285
302,8119_2023-01-01,9.023244160280566
303,8121_2023-01-01,1.898583973433844
304,8123_2023-01-01,7.345336015519422
305,8125_2023-01-01,2.7624171447423156
306,9001_2023-01-01,16.431818722697784
307,9003_2023-01-01,-35966733.520996094
308,9005_2023-01-01,7.750620558623769
309,9007_2023-01-01,6.668310756479913
310,9009_2023-01-01,7.2010202050143945
311,9011_2023-01-01,4.716908470372732
312,9013_2023-01-01,3.6259931309509827
313,9015_2023-01-01,3.223684430714872
314,10001_2023-01-01,7.0229156825140695
315,10003_2023-01-01,21.34332344636607
316,10005_2023-01-01,40.19338227648723
317,11001_2023-01-01,13.16345158642674
318,12001_2023-01-01,164.5457069233321
319,12003_2023-01-01,1.7266963159980802
320,12005_2023-01-01,7.303854343056214
321,12007_2023-01-01,2.3574253800408917
322,12009_2023-01-01,9.211029683200763
323,12011_2023-01-01,25.062962406010115
324,12013_2023-01-01,0.8446244261665274
325,12015_2023-01-01,7.039456999614252
326,12017_2023-01-01,5.236623859991319
327,12019_2023-01-01,5.333735879114499
328,12021_2023-01-01,66404087372.10228
329,12023_2023-01-01,3.6312769586447535
330,12027_2023-01-01,1.556597924778801
331,12029_2023-01-01,1.871165741514772
332,12031_2023-01-01,9.455051348128286
333,12033_2023-01-01,6.7602694798805665
334,12035_2023-01-01,8.869015156634816
335,12037_2023-01-01,1.916149649554697
336,12039_2023-01-01,2.538438538911002
337,12041_2023-01-01,2.5817995623741044
338,12043_2023-01-01,0.7421210059146282
339,12045_2023-01-01,27.05666196977276
340,12047_2023-01-01,1.4672293662721974
341,12049_2023-01-01,1.6441230189752416
342,12051_2023-01-01,2.400956617112609
343,12053_2023-01-01,4.847947342569847
344,12055_2023-01-01,3.4955525288306575
345,12057_2023-01-01,11.291247692707293
346,12059_2023-01-01,1.8688820614046011
347,12061_2023-01-01,10.545082926489737
348,12063_2023-01-01,1.9891484778168995
349,12065_2023-01-01,-7.870128029157591
350,12067_2023-01-01,0.49031118385668615
351,12069_2023-01-01,7.147324241715689
352,12071_2023-01-01,8.492173834220122
353,12073_2023-01-01,8.599118408399512
354,12075_2023-01-01,4.823448665309529
355,12077_2023-01-01,0.16354542282950035
356,12079_2023-01-01,1.6633633399842287
357,12081_2023-01-01,10.287907916675017
358,12083_2023-01-01,5.276395701312891
359,12085_2023-01-01,10.247499833202905
360,12086_2023-01-01,17.545209291053574
361,12087_2023-01-01,27.030145095517618
362,12089_2023-01-01,6.589036466017799
363,12091_2023-01-01,7.748536084185136
